,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
8082,INV-16719300018,01/03/2019,3949,Wal-Mart 0751 / Pella,1650 Washington St,Pella,50219,POINT (-92.933676 41.410379),63.0,MARION,1031100.0,American Vodkas,297,Laird & Company,35918,Five O'Clock Vodka,6,1750,7.2,10.8,12,129.6,21.0,5.54
8083,INV-16782600050,01/07/2019,2506,Hy-Vee #1044 / Burlington,3140 Agency,Burlington,52601,POINT (-91.136655 40.814666),29.0,DES MOINES,1032100.0,Imported Vodkas,421,SAZERAC COMPANY  INC,34368,Fris Danish Vodka,6,1750,8.49,12.74,6,76.44,10.5,2.77
8084,INV-16707700117,01/03/2019,3390,Okoboji Avenue Liquor,1610 Okoboji Avenue,Milford,51351,POINT (-95.149955 43.331525),30.0,DICKINSON,1032200.0,Imported Flavored Vodka,260,DIAGEO AMERICAS,64755,Ciroc Red Berry,12,750,16.49,24.74,3,74.22,2.25,0.59
8085,INV-16706400007,01/03/2019,5682,Ambysure Inc / Clinton,1641 S Bluff Blvd,Clinton,52732,POINT (-90.225022 41.833351),23.0,CLINTON,1082200.0,Imported Schnapps,260,DIAGEO AMERICAS,69940,Rumple Minze Peppermint Mini,12,500,13.5,20.25,24,486.0,12.0,3.17
8086,INV-16780100034,01/07/2019,4296,Circle B Market,111 Main St,Keosauqua,52565,POINT (-91.962466 40.7294),89.0,VAN BUREN,1031200.0,American Flavored Vodka,260,DIAGEO AMERICAS,77683,Smirnoff Kissed Caramel,12,750,8.25,12.38,3,37.14,2.25,0.59
8087,INV-16701100007,01/02/2019,3981,Wal-Mart 1152 / Sioux Center,255 16th St SW,Sioux Center,51250,POINT (-96.179835 43.060881),84.0,SIOUX,1062500.0,Flavored Rum,370,PERNOD RICARD USA,42718,Malibu Coconut Rum,6,1750,16.49,24.74,6,148.44,10.5,2.77
8088,INV-16749300028,01/04/2019,2657,Hy-Vee Food Store / Bedford,1604 Bent,Bedford,50833,POINT (-94.72557800000001 40.676171),87.0,TAYLOR,1081300.0,American Cordials & Liqueur,434,LUXCO INC,76486,Paramount Amaretto,12,750,3.5,5.25,2,10.5,1.5,0.39
8089,INV-16784300077,01/07/2019,5678,Save More / Davenport,405 E Locust St,Davenport,52803,POINT (-90.568875 41.538264),82.0,SCOTT,1031100.0,American Vodkas,255,Infinium Spirits,37881,Seagrams Extra Smooth Vodka Mini,12,500,4.6,6.9,1,6.9,0.5,0.13
8090,INV-16920200051,01/14/2019,5091,Kum & Go #1436 / Muscatine,416 Cedar St,Muscatine,52671,POINT (-91.392568 40.92129),70.0,MUSCATINE,1081200.0,Cream Liqueurs,305,Mhw LTD,73055,Rumchata,12,750,12.5,18.75,3,56.25,2.25,0.59
8091,INV-16804300006,01/08/2019,4334,Fareway Stores #114 / Dubuque,2050 John F Kennedy Rd,Dubuque,52001,,31.0,DUBUQUE,1062200.0,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.84,11.76,6,70.56,10.5,2.77
8092,INV-16805000154,01/08/2019,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001,POINT (-90.668138 42.504959),31.0,DUBUQUE,1062200.0,White Rum,35,BACARDI USA INC,43127,Bacardi Superior,12,1000,9.5,14.25,48,684.0,48.0,12.68
8093,INV-16861200066,01/10/2019,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57.0,LINN,1031100.0,American Vodkas,55,SAZERAC NORTH AMERICA,35947,Fleischmann's Royal Vodka,12,1000,3.5,5.25,36,216.0,36.0,9.51
8094,INV-16882500003,01/11/2019,4973,Quillins Quality Foods West Union,"303, Hwy 150 N",West Union,52175,POINT (-91.814402 42.965065),33.0,FAYETTE,1012100.0,Canadian Whiskies,421,SAZERAC COMPANY  INC,12888,Rich & Rare,6,1750,8.98,13.47,12,161.64,21.0,5.54
8095,INV-16855900009,01/10/2019,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266,POINT (-93.808855 41.598515),77.0,POLK,1031200.0,American Flavored Vodka,259,Heaven Hill Brands,40326,Deep Eddy Ruby Red Mini,6,600,4.84,7.26,1,7.26,0.6,0.15
