County,Income,Families,Families ME,Year
Dickinson,"$60,000 to $74,999",487,137,2016-2020
Dickinson,"$75,000 to $99,999",842,185,2016-2020
Dickinson,"$100,000 to $124,999",608,106,2016-2020
Dickinson,"$125,000 to $149,999",378,111,2016-2020
Dickinson,"$150,000 to $199,999",378,102,2016-2020
Dickinson,"$200,000 or more",380,85,2016-2020
Dubuque,"Less than $10,000",683,188,2016-2020
Dubuque,"$10,000 to $14,999",372,110,2016-2020
Dubuque,"$15,000 to $19,999",380,106,2016-2020
Dubuque,"$20,000 to $24,999",558,165,2016-2020
Dubuque,"$25,000 to $29,999",614,148,2016-2020
Dubuque,"$30,000 to $34,999",560,124,2016-2020
Dubuque,"$35,000 to $39,999",944,221,2016-2020
Dubuque,"$40,000 to $44,999","1,013",232,2016-2020
Dubuque,"$45,000 to $49,999","1,088",241,2016-2020
Dubuque,"$50,000 to $59,999","1,930",285,2016-2020
Dubuque,"$60,000 to $74,999","2,822",260,2016-2020
Dubuque,"$75,000 to $99,999","4,941",425,2016-2020
Dubuque,"$100,000 to $124,999","3,462",357,2016-2020
Dubuque,"$125,000 to $149,999","2,272",289,2016-2020
Dubuque,"$150,000 to $199,999","1,585",286,2016-2020
Dubuque,"$200,000 or more","1,964",248,2016-2020
Emmet,"Less than $10,000",61,33,2016-2020
Emmet,"$10,000 to $14,999",58,34,2016-2020
Emmet,"$15,000 to $19,999",30,23,2016-2020
Emmet,"$20,000 to $24,999",102,52,2016-2020
Emmet,"$25,000 to $29,999",33,18,2016-2020
Emmet,"$30,000 to $34,999",87,49,2016-2020
Emmet,"$35,000 to $39,999",114,78,2016-2020
Emmet,"$40,000 to $44,999",164,93,2016-2020
Emmet,"$45,000 to $49,999",102,47,2016-2020
Emmet,"$50,000 to $59,999",195,78,2016-2020
Emmet,"$60,000 to $74,999",363,90,2016-2020
Emmet,"$75,000 to $99,999",381,105,2016-2020
Emmet,"$100,000 to $124,999",307,82,2016-2020
Emmet,"$125,000 to $149,999",131,54,2016-2020
Emmet,"$150,000 to $199,999",130,49,2016-2020
Emmet,"$200,000 or more",69,33,2016-2020
Fayette,"Less than $10,000",151,60,2016-2020
