County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Dickinson,2020,"16,696",80,31,34,30,23,171,61,0,16,58,60,274,89
Dickinson,2011,"16,583",63,52,23,23,25,39,38,33,45,30,38,207,82
Dickinson,2012,"16,583",63,52,23,23,25,39,38,33,45,30,38,207,82
Dickinson,2013,"16,583",63,52,23,23,25,39,38,33,45,30,38,207,82
Dickinson,2014,"16,583",63,52,23,23,25,39,38,33,45,30,38,207,82
Dickinson,2015,"16,583",63,52,23,23,25,39,38,33,45,30,38,207,82
Dubuque,2016,"89,329",262,"3,042",263,231,126,"1,144",146,577,26,451,189,"2,419",317
Dubuque,2017,"89,329",262,"3,042",263,231,126,"1,144",146,577,26,451,189,"2,419",317
Dubuque,2018,"89,329",262,"3,042",263,231,126,"1,144",146,577,26,451,189,"2,419",317
Dubuque,2019,"89,329",262,"3,042",263,231,126,"1,144",146,577,26,451,189,"2,419",317
Dubuque,2020,"89,329",262,"3,042",263,231,126,"1,144",146,577,26,451,189,"2,419",317
Dubuque,2011,"89,788",218,"1,862",272,91,62,"1,273",108,300,21,210,147,"2,382",341
Dubuque,2012,"89,788",218,"1,862",272,91,62,"1,273",108,300,21,210,147,"2,382",341
Dubuque,2013,"89,788",218,"1,862",272,91,62,"1,273",108,300,21,210,147,"2,382",341
Dubuque,2014,"89,788",218,"1,862",272,91,62,"1,273",108,300,21,210,147,"2,382",341
Dubuque,2015,"89,788",218,"1,862",272,91,62,"1,273",108,300,21,210,147,"2,382",341
Emmet,2016,"8,681",169,200,66,12,25,26,32,0,14,214,139,189,114
Emmet,2017,"8,681",169,200,66,12,25,26,32,0,14,214,139,189,114
Emmet,2018,"8,681",169,200,66,12,25,26,32,0,14,214,139,189,114
Emmet,2019,"8,681",169,200,66,12,25,26,32,0,14,214,139,189,114
Emmet,2020,"8,681",169,200,66,12,25,26,32,0,14,214,139,189,114
Emmet,2011,"9,575",67,149,61,38,41,17,13,10,16,38,32,90,48
Emmet,2012,"9,575",67,149,61,38,41,17,13,10,16,38,32,90,48
Emmet,2013,"9,575",67,149,61,38,41,17,13,10,16,38,32,90,48
Emmet,2014,"9,575",67,149,61,38,41,17,13,10,16,38,32,90,48
Emmet,2015,"9,575",67,149,61,38,41,17,13,10,16,38,32,90,48
Fayette,2016,"18,595",157,299,94,26,26,87,60,1,3,29,28,567,193
Fayette,2017,"18,595",157,299,94,26,26,87,60,1,3,29,28,567,193
Fayette,2018,"18,595",157,299,94,26,26,87,60,1,3,29,28,567,193
Fayette,2019,"18,595",157,299,94,26,26,87,60,1,3,29,28,567,193
Fayette,2020,"18,595",157,299,94,26,26,87,60,1,3,29,28,567,193
Fayette,2011,"19,790",85,223,103,105,79,157,28,0,17,39,34,275,111
Fayette,2012,"19,790",85,223,103,105,79,157,28,0,17,39,34,275,111
Fayette,2013,"19,790",85,223,103,105,79,157,28,0,17,39,34,275,111
