County,Age,Age Group Estimate,Age Group ME,Year
Audubon,25 to 29 years,267,6,2016
Audubon,25 to 29 years,267,6,2017
Audubon,25 to 29 years,267,6,2018
Audubon,25 to 29 years,267,6,2019
Audubon,25 to 29 years,267,6,2020
Audubon,30 to 34 years,235,22,2016
Audubon,30 to 34 years,235,22,2017
Audubon,30 to 34 years,235,22,2018
Audubon,30 to 34 years,235,22,2019
Audubon,30 to 34 years,235,22,2020
Audubon,35 to 39 years,278,64,2016
Audubon,35 to 39 years,278,64,2017
Audubon,35 to 39 years,278,64,2018
Audubon,35 to 39 years,278,64,2019
Audubon,35 to 39 years,278,64,2020
Audubon,40 to 44 years,283,72,2016
Audubon,40 to 44 years,283,72,2017
Audubon,40 to 44 years,283,72,2018
Audubon,40 to 44 years,283,72,2019
Audubon,40 to 44 years,283,72,2020
Audubon,45 to 49 years,271,28,2016
Audubon,45 to 49 years,271,28,2017
Audubon,45 to 49 years,271,28,2018
Audubon,45 to 49 years,271,28,2019
Audubon,45 to 49 years,271,28,2020
Audubon,50 to 54 years,360,28,2016
Audubon,50 to 54 years,360,28,2017
Audubon,50 to 54 years,360,28,2018
Audubon,50 to 54 years,360,28,2019
Audubon,50 to 54 years,360,28,2020
Audubon,55 to 59 years,487,85,2016
Audubon,55 to 59 years,487,85,2017
Audubon,55 to 59 years,487,85,2018
Audubon,55 to 59 years,487,85,2019
Audubon,55 to 59 years,487,85,2020
Audubon,60 and 61 years,187,68,2016
Audubon,60 and 61 years,187,68,2017
Audubon,60 and 61 years,187,68,2018
Audubon,60 and 61 years,187,68,2019
Audubon,60 and 61 years,187,68,2020
Audubon,62 to 64 years,280,89,2016
Audubon,62 to 64 years,280,89,2017
Audubon,62 to 64 years,280,89,2018
Audubon,62 to 64 years,280,89,2019
Audubon,62 to 64 years,280,89,2020
Audubon,65 and 66 years,136,51,2016
Audubon,65 and 66 years,136,51,2017
Audubon,65 and 66 years,136,51,2018
Audubon,65 and 66 years,136,51,2019
Audubon,65 and 66 years,136,51,2020
Audubon,67 to 69 years,275,60,2016
Audubon,67 to 69 years,275,60,2017
Audubon,67 to 69 years,275,60,2018
Audubon,67 to 69 years,275,60,2019
Audubon,67 to 69 years,275,60,2020
Audubon,70 to 74 years,255,58,2016
Audubon,70 to 74 years,255,58,2017
Audubon,70 to 74 years,255,58,2018
Audubon,70 to 74 years,255,58,2019
Audubon,70 to 74 years,255,58,2020
Audubon,75 to 79 years,268,70,2016
Audubon,75 to 79 years,268,70,2017
Audubon,75 to 79 years,268,70,2018
Audubon,75 to 79 years,268,70,2019
Audubon,75 to 79 years,268,70,2020
Audubon,80 to 84 years,191,81,2016
Audubon,80 to 84 years,191,81,2017
Audubon,80 to 84 years,191,81,2018
Audubon,80 to 84 years,191,81,2019
Audubon,80 to 84 years,191,81,2020
Audubon,85 years and over,239,76,2016
Audubon,85 years and over,239,76,2017
Audubon,85 years and over,239,76,2018
Audubon,85 years and over,239,76,2019
Audubon,85 years and over,239,76,2020
Benton,21 years,206,95,2016
Benton,21 years,206,95,2017
Benton,21 years,206,95,2018
Benton,21 years,206,95,2019
Benton,21 years,206,95,2020
Benton,22 to 24 years,843,132,2016
Benton,22 to 24 years,843,132,2017
Benton,22 to 24 years,843,132,2018
Benton,22 to 24 years,843,132,2019
Benton,22 to 24 years,843,132,2020
Benton,25 to 29 years,"1,278",53,2016
Benton,25 to 29 years,"1,278",53,2017
Benton,25 to 29 years,"1,278",53,2018
Benton,25 to 29 years,"1,278",53,2019
Benton,25 to 29 years,"1,278",53,2020
Benton,30 to 34 years,"1,343",40,2016
Benton,30 to 34 years,"1,343",40,2017
Benton,30 to 34 years,"1,343",40,2018
Benton,30 to 34 years,"1,343",40,2019
Benton,30 to 34 years,"1,343",40,2020
Benton,35 to 39 years,"1,533",211,2016
Benton,35 to 39 years,"1,533",211,2017
Benton,35 to 39 years,"1,533",211,2018
Benton,35 to 39 years,"1,533",211,2019
Benton,35 to 39 years,"1,533",211,2020
Benton,40 to 44 years,"1,541",209,2016
Benton,40 to 44 years,"1,541",209,2017
Benton,40 to 44 years,"1,541",209,2018
Benton,40 to 44 years,"1,541",209,2019
Benton,40 to 44 years,"1,541",209,2020
Benton,45 to 49 years,"1,556",38,2016
Benton,45 to 49 years,"1,556",38,2017
Benton,45 to 49 years,"1,556",38,2018
Benton,45 to 49 years,"1,556",38,2019
Benton,45 to 49 years,"1,556",38,2020
Benton,50 to 54 years,"1,954",63,2016
Benton,50 to 54 years,"1,954",63,2017
Benton,50 to 54 years,"1,954",63,2018
Benton,50 to 54 years,"1,954",63,2019
Benton,50 to 54 years,"1,954",63,2020
Benton,55 to 59 years,"1,995",235,2016
Benton,55 to 59 years,"1,995",235,2017
Benton,55 to 59 years,"1,995",235,2018
Benton,55 to 59 years,"1,995",235,2019
Benton,55 to 59 years,"1,995",235,2020
Benton,60 and 61 years,829,176,2016
Benton,60 and 61 years,829,176,2017
Benton,60 and 61 years,829,176,2018
Benton,60 and 61 years,829,176,2019
Benton,60 and 61 years,829,176,2020
Benton,62 to 64 years,"1,042",209,2016
Benton,62 to 64 years,"1,042",209,2017
Benton,62 to 64 years,"1,042",209,2018
Benton,62 to 64 years,"1,042",209,2019
Benton,62 to 64 years,"1,042",209,2020
Benton,65 and 66 years,747,152,2016
Benton,65 and 66 years,747,152,2017
Benton,65 and 66 years,747,152,2018
Benton,65 and 66 years,747,152,2019
Benton,65 and 66 years,747,152,2020
Benton,67 to 69 years,580,136,2016
Benton,67 to 69 years,580,136,2017
Benton,67 to 69 years,580,136,2018
Benton,67 to 69 years,580,136,2019
Benton,67 to 69 years,580,136,2020
Benton,70 to 74 years,"1,186",182,2016
Benton,70 to 74 years,"1,186",182,2017
Benton,70 to 74 years,"1,186",182,2018
Benton,70 to 74 years,"1,186",182,2019
Benton,70 to 74 years,"1,186",182,2020
Benton,75 to 79 years,878,179,2016
Benton,75 to 79 years,878,179,2017
Benton,75 to 79 years,878,179,2018
Benton,75 to 79 years,878,179,2019
Benton,75 to 79 years,878,179,2020
Benton,80 to 84 years,592,160,2016
Benton,80 to 84 years,592,160,2017
Benton,80 to 84 years,592,160,2018
Benton,80 to 84 years,592,160,2019
Benton,80 to 84 years,592,160,2020
Benton,85 years and over,714,182,2016
Benton,85 years and over,714,182,2017
Benton,85 years and over,714,182,2018
Benton,85 years and over,714,182,2019
Benton,85 years and over,714,182,2020
Black Hawk,21 years,"3,360",677,2016
Black Hawk,21 years,"3,360",677,2017
Black Hawk,21 years,"3,360",677,2018
Black Hawk,21 years,"3,360",677,2019
Black Hawk,21 years,"3,360",677,2020
Black Hawk,22 to 24 years,"7,533","1,059",2016
Black Hawk,22 to 24 years,"7,533","1,059",2017
Black Hawk,22 to 24 years,"7,533","1,059",2018
Black Hawk,22 to 24 years,"7,533","1,059",2019
Black Hawk,22 to 24 years,"7,533","1,059",2020
Black Hawk,25 to 29 years,"9,255",145,2016
Black Hawk,25 to 29 years,"9,255",145,2017
Black Hawk,25 to 29 years,"9,255",145,2018
Black Hawk,25 to 29 years,"9,255",145,2019
Black Hawk,25 to 29 years,"9,255",145,2020
Black Hawk,30 to 34 years,"7,887",240,2016
Black Hawk,30 to 34 years,"7,887",240,2017
Black Hawk,30 to 34 years,"7,887",240,2018
Black Hawk,30 to 34 years,"7,887",240,2019
Black Hawk,30 to 34 years,"7,887",240,2020
Black Hawk,35 to 39 years,"8,386",618,2016
Black Hawk,35 to 39 years,"8,386",618,2017
Black Hawk,35 to 39 years,"8,386",618,2018
Black Hawk,35 to 39 years,"8,386",618,2019
Black Hawk,35 to 39 years,"8,386",618,2020
Black Hawk,40 to 44 years,"6,561",624,2016
Black Hawk,40 to 44 years,"6,561",624,2017
Black Hawk,40 to 44 years,"6,561",624,2018
Black Hawk,40 to 44 years,"6,561",624,2019
Black Hawk,40 to 44 years,"6,561",624,2020
Black Hawk,45 to 49 years,"6,903",195,2016
Black Hawk,45 to 49 years,"6,903",195,2017
Black Hawk,45 to 49 years,"6,903",195,2018
Black Hawk,45 to 49 years,"6,903",195,2019
Black Hawk,45 to 49 years,"6,903",195,2020
Black Hawk,50 to 54 years,"6,948",138,2016
Black Hawk,50 to 54 years,"6,948",138,2017
Black Hawk,50 to 54 years,"6,948",138,2018
Black Hawk,50 to 54 years,"6,948",138,2019
Black Hawk,50 to 54 years,"6,948",138,2020
Black Hawk,55 to 59 years,"7,621",634,2016
Black Hawk,55 to 59 years,"7,621",634,2017
Black Hawk,55 to 59 years,"7,621",634,2018
Black Hawk,55 to 59 years,"7,621",634,2019
Black Hawk,55 to 59 years,"7,621",634,2020
Black Hawk,60 and 61 years,"2,943",396,2016
Black Hawk,60 and 61 years,"2,943",396,2017
Black Hawk,60 and 61 years,"2,943",396,2018
Black Hawk,60 and 61 years,"2,943",396,2019
Black Hawk,60 and 61 years,"2,943",396,2020
Black Hawk,62 to 64 years,"5,536",639,2016
Black Hawk,62 to 64 years,"5,536",639,2017
Black Hawk,62 to 64 years,"5,536",639,2018
Black Hawk,62 to 64 years,"5,536",639,2019
Black Hawk,62 to 64 years,"5,536",639,2020
Black Hawk,65 and 66 years,"2,987",422,2016
Black Hawk,65 and 66 years,"2,987",422,2017
Black Hawk,65 and 66 years,"2,987",422,2018
Black Hawk,65 and 66 years,"2,987",422,2019
Black Hawk,65 and 66 years,"2,987",422,2020
Black Hawk,67 to 69 years,"4,013",544,2016
Black Hawk,67 to 69 years,"4,013",544,2017
Black Hawk,67 to 69 years,"4,013",544,2018
Black Hawk,67 to 69 years,"4,013",544,2019
Black Hawk,67 to 69 years,"4,013",544,2020
Black Hawk,70 to 74 years,"5,355",526,2016
Black Hawk,70 to 74 years,"5,355",526,2017
Black Hawk,70 to 74 years,"5,355",526,2018
Black Hawk,70 to 74 years,"5,355",526,2019
Black Hawk,70 to 74 years,"5,355",526,2020
Black Hawk,75 to 79 years,"4,066",505,2016
Black Hawk,75 to 79 years,"4,066",505,2017
Black Hawk,75 to 79 years,"4,066",505,2018
Black Hawk,75 to 79 years,"4,066",505,2019
Black Hawk,75 to 79 years,"4,066",505,2020
Black Hawk,80 to 84 years,"2,571",468,2016
Black Hawk,80 to 84 years,"2,571",468,2017
Black Hawk,80 to 84 years,"2,571",468,2018
Black Hawk,80 to 84 years,"2,571",468,2019
Black Hawk,80 to 84 years,"2,571",468,2020
Black Hawk,85 years and over,"2,738",447,2016
Black Hawk,85 years and over,"2,738",447,2017
Black Hawk,85 years and over,"2,738",447,2018
Black Hawk,85 years and over,"2,738",447,2019
Black Hawk,85 years and over,"2,738",447,2020
Boone,21 years,544,201,2016
Boone,21 years,544,201,2017
Boone,21 years,544,201,2018
Boone,21 years,544,201,2019
Boone,21 years,544,201,2020
Boone,22 to 24 years,771,227,2016
Boone,22 to 24 years,771,227,2017
Boone,22 to 24 years,771,227,2018
Boone,22 to 24 years,771,227,2019
Boone,22 to 24 years,771,227,2020
Boone,25 to 29 years,"1,642",139,2016
Boone,25 to 29 years,"1,642",139,2017
Boone,25 to 29 years,"1,642",139,2018
Boone,25 to 29 years,"1,642",139,2019
Boone,25 to 29 years,"1,642",139,2020
Boone,30 to 34 years,"1,592",60,2016
Boone,30 to 34 years,"1,592",60,2017
Boone,30 to 34 years,"1,592",60,2018
Boone,30 to 34 years,"1,592",60,2019
Boone,30 to 34 years,"1,592",60,2020
Boone,35 to 39 years,"1,578",269,2016
Boone,35 to 39 years,"1,578",269,2017
Boone,35 to 39 years,"1,578",269,2018
Boone,35 to 39 years,"1,578",269,2019
Boone,35 to 39 years,"1,578",269,2020
Boone,40 to 44 years,"1,725",290,2016
Boone,40 to 44 years,"1,725",290,2017
Boone,40 to 44 years,"1,725",290,2018
Boone,40 to 44 years,"1,725",290,2019
Boone,40 to 44 years,"1,725",290,2020
Boone,45 to 49 years,"1,590",63,2016
Boone,45 to 49 years,"1,590",63,2017
Boone,45 to 49 years,"1,590",63,2018
Boone,45 to 49 years,"1,590",63,2019
Boone,45 to 49 years,"1,590",63,2020
Boone,50 to 54 years,"1,717",67,2016
Boone,50 to 54 years,"1,717",67,2017
Boone,50 to 54 years,"1,717",67,2018
Boone,50 to 54 years,"1,717",67,2019
Boone,50 to 54 years,"1,717",67,2020
Boone,55 to 59 years,"2,019",249,2016
Boone,55 to 59 years,"2,019",249,2017
Boone,55 to 59 years,"2,019",249,2018
Boone,55 to 59 years,"2,019",249,2019
