"County","Year","HighIncome","LowIncome","MidIncome"
"Pottawattamie",2018,4729,5089,13837
"Pottawattamie",2019,4729,5089,13837
"Pottawattamie",2020,4729,5089,13837
"Poweshiek",2011,562,1085,2986
"Poweshiek",2012,562,1085,2986
"Poweshiek",2013,562,1085,2986
"Poweshiek",2014,562,1085,2986
"Poweshiek",2015,562,1085,2986
"Poweshiek",2016,1051,899,2751
"Poweshiek",2017,1051,899,2751
"Poweshiek",2018,1051,899,2751
"Poweshiek",2019,1051,899,2751
"Poweshiek",2020,1051,899,2751
"Ringgold",2011,157,406,768
"Ringgold",2012,157,406,768
"Ringgold",2013,157,406,768
"Ringgold",2014,157,406,768
"Ringgold",2015,157,406,768
"Ringgold",2016,226,307,702
"Ringgold",2017,226,307,702
"Ringgold",2018,226,307,702
"Ringgold",2019,226,307,702
"Ringgold",2020,226,307,702
"Sac",2011,330,674,1835
"Sac",2012,330,674,1835
"Sac",2013,330,674,1835
"Sac",2014,330,674,1835
"Sac",2015,330,674,1835
"Sac",2016,528,548,1700
"Sac",2017,528,548,1700
"Sac",2018,528,548,1700
"Sac",2019,528,548,1700
"Sac",2020,528,548,1700
"Scott",2011,8229,10287,24146
"Scott",2012,8229,10287,24146
"Scott",2013,8229,10287,24146
"Scott",2014,8229,10287,24146
"Scott",2015,8229,10287,24146
"Scott",2016,11259,8075,23410
"Scott",2017,11259,8075,23410
"Scott",2018,11259,8075,23410
"Scott",2019,11259,8075,23410
"Scott",2020,11259,8075,23410
"Shelby",2011,435,728,1981
