"County","Year","Middle-Old","Middle-Young","Old","Young"
"Jasper",2020,7538,6813,9606,3722
"Jefferson",2011,3289,2774,4878,2583
"Jefferson",2012,3289,2774,4878,2583
"Jefferson",2013,3289,2774,4878,2583
"Jefferson",2014,3289,2774,4878,2583
"Jefferson",2015,3289,2774,4878,2583
"Jefferson",2016,3207,3153,5433,2352
"Jefferson",2017,3207,3153,5433,2352
"Jefferson",2018,3207,3153,5433,2352
"Jefferson",2019,3207,3153,5433,2352
"Jefferson",2020,3207,3153,5433,2352
"Johnson",2011,22574,26692,20005,29232
"Johnson",2012,22574,26692,20005,29232
"Johnson",2013,22574,26692,20005,29232
"Johnson",2014,22574,26692,20005,29232
"Johnson",2015,22574,26692,20005,29232
"Johnson",2016,22994,28627,24734,30962
"Johnson",2017,22994,28627,24734,30962
"Johnson",2018,22994,28627,24734,30962
"Johnson",2019,22994,28627,24734,30962
"Johnson",2020,22994,28627,24734,30962
"Jones",2011,4558,3808,5161,1964
"Jones",2012,4558,3808,5161,1964
"Jones",2013,4558,3808,5161,1964
"Jones",2014,4558,3808,5161,1964
"Jones",2015,4558,3808,5161,1964
"Jones",2016,4240,3706,5677,2016
"Jones",2017,4240,3706,5677,2016
"Jones",2018,4240,3706,5677,2016
"Jones",2019,4240,3706,5677,2016
"Jones",2020,4240,3706,5677,2016
"Keokuk",2011,2327,1657,2738,893
"Keokuk",2012,2327,1657,2738,893
"Keokuk",2013,2327,1657,2738,893
"Keokuk",2014,2327,1657,2738,893
"Keokuk",2015,2327,1657,2738,893
"Keokuk",2016,1904,1611,3033,949
"Keokuk",2017,1904,1611,3033,949
"Keokuk",2018,1904,1611,3033,949
"Keokuk",2019,1904,1611,3033,949
"Keokuk",2020,1904,1611,3033,949
"Kossuth",2011,3484,2258,4407,1208
"Kossuth",2012,3484,2258,4407,1208
"Kossuth",2013,3484,2258,4407,1208
"Kossuth",2014,3484,2258,4407,1208
"Kossuth",2015,3484,2258,4407,1208
"Kossuth",2016,2656,2265,4756,1557
"Kossuth",2017,2656,2265,4756,1557
"Kossuth",2018,2656,2265,4756,1557
"Kossuth",2019,2656,2265,4756,1557
"Kossuth",2020,2656,2265,4756,1557
"Lee",2011,7955,5893,8916,3671
"Lee",2012,7955,5893,8916,3671
"Lee",2013,7955,5893,8916,3671
"Lee",2014,7955,5893,8916,3671
"Lee",2015,7955,5893,8916,3671
"Lee",2016,6766,5719,9525,3564
